length,width,quantity,code,polish_edge_l,polish_edge_w
27.875,25,0,q9r0s1t2,1,0
24,25,0,u3v4w5x6,1,2
124.75,42,2,y7z8a9b0,1,2
27.625,25,2,c1d2e3f4,1,2
24,25,2,g5h6i7j8,1,2
96,25,10,k9l0m1n2,0,2
27,25,10,o3p4q5r6,2,0
49.625,22.5,16,s7t8u9v0,2,2
49.625,4,16,w1x2y3z4,2,2
21.25,4,16,a5b6c7d8,0,1
42.625,22.5,4,e9f0g1h2,2,1
42.625,4,4,i3j4k5l6,2,1
21.25,4,4,m7n8o9p0,0,1
55.625,22.5,2,q1r2s3t4,2,0
55.625,4,2,u5v6w7x8,2,1
21.25,4,2,y9z0a1b2,2,1
49.625,22.5,4,c3d4e5f6,0,2
49.625,4,4,g7h8i9j0,2,2
21.25,4,4,k1l2m3n4,1,2
66.625,22.5,28,o5p6q7r8,1,1
66.625,4,28,s9t0u1v2,1,0
21.25,4,28,w3x4y5z6,1,1
55.625,22.5,28,a7b8c9d0,0,1
55.625,4,28,e1f2g3h4,1,1
21.25,4,28,i5j6k7l8,1,1
72.25,22.5,4,m9n0o1p2,1,0
72.25,4,4,q3r4s5t6,1,1
21.25,4,4,u7v8w9x0,2,1
21.25,4,4,y1z2a3b4,2,2
58.625,22.5,4,c5d6e7f8,2,2
58.625,4,4,g9h0i1j2,2,2
21.25,4,4,k3l4m5n6,0,1
60.625,22.5,2,o7p8q9r0,2,1
60.625,4,2,s1t2u3v4,2,1
21.25,4,2,w5x6y7z8,2,1
42.625,22.5,2,a9b0c1d2,0,1
42.625,4,2,e3f4g5h6,2,1
21.25,4,2,e3f4g5h7,2,1
48.625,22.5,2,e3f4g5h8,2,1
48.625,4,2,e3f4g5h9,3,2
21.25,4,2,a1b2c3d4,1,2
42.625,22.5,2,e5f6g7h8,1,0
42.625,4,2,i9j0k1l2,1,2
21.25,4,2,m3n4o5p6,1,2
48.625,22.5,2,q7r8s9t0,0,2
48.625,4,2,u1v2w3x4,1,2
21.25,4,2,y5z6a7b8,1,2
42.625,22.5,2,c9d0e1f2,0,2
42.625,4,2,g3h4i5j6,1,1
21.25,4,2,k7l8m9n0,1,1
60.625,22.5,4,o1p2q3r4,1,1
60.625,4,4,s5t6u7v8,1,1
21.25,4,4,w9x0y1z2,1,1
46.625,22.5,4,a3b4c5d6,0,1
46.625,4,4,e7f8g9h0,1,1
21.25,4,4,i1j2k3l4,1,1
42.625,22.5,2,m5n6o7p8,1,1
42.625,4,2,q9r0s1t2,1,0
21.25,4,2,u3v4w5x6,1,2
42.625,22.5,2,y7z8a9b0,1,2
42.625,4,2,c1d2e3f4,1,2
21.25,4,2,g5h6i7j8,1,2
49.625,22.5,2,k9l0m1n2,0,2
49.625,4,2,o3p4q5r6,2,0
21.25,4,2,s7t8u9v0,2,2
42.625,22.5,2,w1x2y3z4,2,2
42.625,4,2,a5b6c7d8,0,1
21.25,4,2,e9f0g1h2,2,1
86.75,22.5,0,i3j4k5l6,2,1
86.75,4,0,m7n8o9p0,0,1
21.25,4,0,q1r2s3t4,2,0
21.25,4,0,u5v6w7x8,2,1
61.625,22.5,0,y9z0a1b2,2,1
61.625,4,0,c3d4e5f6,0,2
21.25,4,0,g7h8i9j0,2,2
81.5,22.5,0,k1l2m3n4,1,2
81.5,4,0,o5p6q7r8,1,1
21.25,4,0,s9t0u1v2,1,0
21.25,4,0,w3x4y5z6,1,1
58.625,22.5,0,a7b8c9d0,0,1
58.625,4,0,e1f2g3h4,1,1
21.25,4,0,i5j6k7l8,1,1
86.5,22.5,2,m9n0o1p2,1,0
86.5,4,2,q3r4s5t6,1,1
21.25,4,2,u7v8w9x0,2,1
21.25,4,2,y1z2a3b4,2,2
55.625,22.5,2,c5d6e7f8,2,2
55.625,4,2,g9h0i1j2,2,2
21.25,4,2,k3l4m5n6,0,1
36.625,22.5,10,o7p8q9r0,2,1
36.625,4,10,s1t2u3v4,2,1
21.25,4,10,w5x6y7z8,2,1
